Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Ilguma_new,Platuma,Platuma_new,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,KryptiesTipas,KryptiesPavadinimas,ReisoIdGTFS
Autobusai,50,,954,25292440,25.29244,54719973,54.719973,0,84,,,44494,Z,D>B,Bajorai,
Troleibusai,12,,1614,25322557,25.322557,54708936,54.708936,0,26,,,43949,,D>A,Žirmūnai,
Autobusai,2G,,4162,25292906,25.292906,54720658,54.720658,0,264,,,43989,KWZD,A>D1,Autobusų parkas (Verkių g.),
Autobusai,53,,4019,25292418,25.292418,54720149,54.720149,0,116,,,44500,KZ,A>D,Autobusų parkas (Verkių g.),
Autobusai,29,,4652,25292374,25.292374,54720325,54.720325,0,78,,,44482,Z,A>D,Autobusų parkas (Verkių g.),
Autobusai,5G,,4590,25294796,25.294796,54719784,54.719784,0,264,,,44461,KZ,B1>D,Autobusų parkas (Verkių g.),
Autobusai,3G,,4567,25294445,25.294445,54719909,54.719909,0,344,,,44477,KWZD,A>B,Oro uostas,
Autobusai,54,22852792355,715,25217413,25.217413,54703258,54.703258,0,296,1435,0,44498,KZ,A>D,2-asis troleibusų parkas (Justiniškių g.),
Autobusai,2G,,775,25292949,25.292949,54720283,54.720283,0,90,,,44487,KZ,A>D1,Autobusų parkas (Verkių g.),
Autobusai,5G,,4587,25293161,25.293161,54721786,54.721786,0,176,,,43872,WNZD,B1>D,Autobusų parkas (Verkių g.),
Autobusai,122,22560341215,572,25418995,25.418995,54685814,54.685814,27,298,735,64,44499,KWNZ,B>A,Naujininkai,A122-01-1-240826-ba-1220
Autobusai,122,22560351135,570,25427373,25.427373,54681866,54.681866,19,222,695,0,44493,KWNZ,A>B,Naujoji Vilnia,A122-02-1-240826-ba-1240
Autobusai,122,22560361205,580,25331261,25.331261,54654357,54.654357,22,46,725,-35,44499,KWNZ,A>B,Naujoji Vilnia,A122-03-1-240826-ab-1210
Autobusai,122,22560371151,568,25349538,25.349538,54651546,54.651546,25,208,711,113,44498,KWNZ,B>A,Naujininkai,A122-04-1-240826-ba-1150
Troleibusai,9,22596191152,2760,25241348,25.241348,54699339,54.699339,35,276,712,26,44492,KWNZ,B>A,Karoliniškės,T9-01-1-240902-ba-1150
Troleibusai,9,22596201214,2711,25304270,25.30427,54718302,54.718302,19,148,734,142,44496,KZ,B>A,Karoliniškės,T9-04-1-240902-ba-1210
Troleibusai,9,22596211140,2696,25302929,25.302929,54719911,54.719911,0,332,700,140,44500,KZ,A>B,Žirmūnai,T9-06-1-240902-ab-1140
Troleibusai,9,22596261132,1727,25205920,25.20592,54684803,54.684803,16,342,692,86,44486,KWZ,B>A,Karoliniškės,T9-03-1-240902-ab-1220
Troleibusai,9,22596271200,2805,25274912,25.274912,54696197,54.696197,3,122,720,97,44498,KWNZ,A>B,Žirmūnai,T9-09-1-240902-ab-1200
Autobusai,1,22598131154,7002,25283063,25.283063,54670652,54.670652,0,222,714,0,44490,KWZ,B>A,Stotis,A1-02-1-240829-ab-1230
Autobusai,1,22598141152,7051,25276555,25.276555,54635754,54.635754,0,180,712,305,44493,KWZ,A>B,Rodūnios sodai,A1-01-1-240829-ba-1230
Autobusai,13,22604671159,7025,25282789,25.282789,54671862,54.671862,7,332,719,178,44498,KWZ,A>B,Vilkpėdė,A13-01-1-240902-ab-1200
Autobusai,13,22604681148,7017,25359183,25.359183,54679210,54.67921,0,224,708,0,44486,KWZ,B>A,Žemasis Pavilnys,A13-02-1-240902-ab-1220
Autobusai,13,22604691215,7078,25267012,25.267012,54669622,54.669622,8,22,735,24,44498,KWZ,B>A,Žemasis Pavilnys,A13-03-1-240902-ba-1220
Autobusai,38,22604991150,7001,25321248,25.321248,54724249,54.724249,3,240,710,148,44498,KWZ,B1>A1,Antakalnis,A38-02-1-240902-b1a1-1150
Autobusai,41,22605021213,7040,25277530,25.27753,54672843,54.672843,0,266,733,194,44487,KWZ,A>B,Užusienis,A41-01-1-240902-ab-1210
Autobusai,31,22613671218,4161,25286701,25.286701,54674130,54.67413,0,90,738,17,44497,KWZD,A>B,Naujoji Vilnia,A31-01-1-240902-ab-1220
Autobusai,31,22613681154,4190,25398060,25.39806,54677788,54.677788,22,86,714,103,44497,KWNZD,A>B,Naujoji Vilnia,A31-03-1-240902-ab-1150
